payment_id,customer_id,payment_amount,failure_reason,payment_method,customer_tenure_months,past_successful_payments,past_failed_payments,historical_success_rate,time_since_last_success_days,is_subscription,days_overdue,recovery_attempts_so_far,recovered
pay_000001,cust_87765,821.66,insufficient_funds,debit_card,37,9,0,1.0,6,0,12,3,1
pay_000002,cust_74032,435.43,limit_exceeded,credit_card,16,14,1,0.93,8,1,19,3,0
pay_000003,cust_62404,955.56,technical_error,debit_card,28,10,2,0.83,4,0,27,1,1
pay_000004,cust_93201,2293.05,technical_error,upi,54,3,0,1.0,41,1,24,0,1
pay_000005,cust_24599,395.62,invalid_card,debit_card,20,10,2,0.83,15,0,27,1,0
pay_000006,cust_93249,395.63,insufficient_funds,credit_card,14,19,1,0.95,76,1,15,2,1
pay_000007,cust_90165,2425.57,insufficient_funds,credit_card,45,3,1,0.75,2,1,27,0,0
pay_000008,cust_66906,1077.12,technical_error,upi,56,24,3,0.89,83,1,6,3,0
pay_000009,cust_68242,312.67,insufficient_funds,credit_card,29,14,2,0.88,25,1,4,1,1
pay_000010,cust_52952,860.2,insufficient_funds,credit_card,46,6,4,0.6,66,1,6,3,1
pay_000011,cust_88402,314.56,invalid_card,debit_card,37,12,1,0.92,17,1,2,3,0
pay_000012,cust_55023,313.84,insufficient_funds,credit_card,19,8,0,1.0,30,1,28,0,1
pay_000013,cust_92098,636.87,invalid_card,upi,17,10,0,1.0,5,1,28,2,0
pay_000014,cust_69724,73.8,insufficient_funds,credit_card,1,19,0,1.0,57,1,5,0,0
pay_000015,cust_22347,89.09,invalid_card,debit_card,29,14,1,0.93,4,1,11,1,0
pay_000016,cust_75010,284.95,technical_error,credit_card,29,11,2,0.85,11,1,26,0,1
pay_000017,cust_25391,181.59,insufficient_funds,debit_card,24,16,1,0.94,19,1,13,1,1
pay_000018,cust_14467,684.61,insufficient_funds,debit_card,19,3,4,0.43,14,1,23,3,0
pay_000019,cust_56961,201.66,insufficient_funds,upi,43,7,1,0.88,10,1,23,2,0
pay_000020,cust_41215,121.79,limit_exceeded,debit_card,10,9,1,0.9,44,0,25,3,0
