payment_id,customer_id,payment_amount,failure_reason,payment_method,customer_tenure_months,past_successful_payments,past_failed_payments,historical_success_rate,time_since_last_success_days,is_subscription,days_overdue,recovery_attempts_so_far,recovered,recovery_probability,expected_recovery,priority,recommended_action,simulated_action,action_effectiveness,action_cost,effective_recovery_probability,simulated_recovered,simulated_recovered_revenue,net_recovered_revenue
pay_000001,cust_87765,821.66,insufficient_funds,debit_card,37,9,0,1.0,6,0,12,3,1,0.4076178854195945,334.923311733864,MEDIUM,Payment Method Reminder,Retry Payment,1.0,50.0,0.4076178854195945,0,0.0,-50.0
pay_000002,cust_74032,435.43,limit_exceeded,credit_card,16,14,1,0.93,8,1,19,3,0,0.1601916407674851,69.75224613938607,LOW,Manual Review / Stop Automatic Retry,Retry Payment,1.0,50.0,0.1601916407674851,0,0.0,-50.0
pay_000003,cust_62404,955.56,technical_error,debit_card,28,10,2,0.83,4,0,27,1,1,0.5873149362327083,561.2146604665267,MEDIUM,Payment Method Reminder,Retry Payment,1.0,50.0,0.5873149362327083,0,0.0,-50.0
pay_000004,cust_93201,2293.05,technical_error,upi,54,3,0,1.0,41,1,24,0,1,0.9678730703937536,2219.3813440663967,HIGH,Retry Payment,Retry Payment,1.0,50.0,0.9678730703937536,1,2293.05,2243.05
pay_000005,cust_24599,395.62,invalid_card,debit_card,20,10,2,0.83,15,0,27,1,0,0.0203618502832363,8.055555209053969,LOW,Manual Review / Stop Automatic Retry,Do Nothing,0.0,0.0,0.0,0,0.0,0.0
pay_000006,cust_93249,395.63,insufficient_funds,credit_card,14,19,1,0.95,76,1,15,2,1,0.3962835908902737,156.78167706391898,MEDIUM,Payment Method Reminder,Retry Payment,1.0,50.0,0.3962835908902737,0,0.0,-50.0
pay_000007,cust_90165,2425.57,insufficient_funds,credit_card,45,3,1,0.75,2,1,27,0,0,0.4931803625661025,1196.243492029461,MEDIUM,Payment Method Reminder,Retry Payment,1.0,50.0,0.4931803625661025,0,0.0,-50.0
pay_000008,cust_66906,1077.12,technical_error,upi,56,24,3,0.89,83,1,6,3,0,0.8841458906075882,952.3312216912452,HIGH,Retry Payment,Retry Payment,1.0,50.0,0.8841458906075882,1,1077.12,1027.12
pay_000009,cust_68242,312.67,insufficient_funds,credit_card,29,14,2,0.88,25,1,4,1,1,0.6752475960616017,211.129665860581,HIGH,Retry Payment,Retry Payment,1.0,50.0,0.6752475960616017,1,312.67,262.67
pay_000010,cust_52952,860.2,insufficient_funds,credit_card,46,6,4,0.6,66,1,6,3,1,0.1737218963063253,149.43557520270107,LOW,Manual Review / Stop Automatic Retry,Retry Payment,1.0,50.0,0.1737218963063253,0,0.0,-50.0
pay_000011,cust_88402,314.56,invalid_card,debit_card,37,12,1,0.92,17,1,2,3,0,0.1964499304983979,61.79529013757605,LOW,Manual Review / Stop Automatic Retry,Retry Payment,1.0,50.0,0.1964499304983979,0,0.0,-50.0
pay_000012,cust_55023,313.84,insufficient_funds,credit_card,19,8,0,1.0,30,1,28,0,1,0.5676466260120037,178.1502171076072,MEDIUM,Payment Method Reminder,Retry Payment,1.0,50.0,0.5676466260120037,0,0.0,-50.0
pay_000013,cust_92098,636.87,invalid_card,upi,17,10,0,1.0,5,1,28,2,0,0.0679932703848228,43.302874109982135,LOW,Manual Review / Stop Automatic Retry,Retry Payment,1.0,50.0,0.0679932703848228,0,0.0,-50.0
pay_000014,cust_69724,73.8,insufficient_funds,credit_card,1,19,0,1.0,57,1,5,0,0,0.8002345601685503,59.05731054043901,HIGH,Retry Payment,Retry Payment,1.0,50.0,0.8002345601685503,0,0.0,-50.0
pay_000015,cust_22347,89.09,invalid_card,debit_card,29,14,1,0.93,4,1,11,1,0,0.2399796529132863,21.37978727804468,LOW,Manual Review / Stop Automatic Retry,Retry Payment,1.0,50.0,0.2399796529132863,0,0.0,-50.0
pay_000016,cust_75010,284.95,technical_error,credit_card,29,11,2,0.85,11,1,26,0,1,0.8500977023166291,242.23534027512343,HIGH,Retry Payment,Retry Payment,1.0,50.0,0.8500977023166291,1,284.95,234.95
pay_000017,cust_25391,181.59,insufficient_funds,debit_card,24,16,1,0.94,19,1,13,1,1,0.6317043729790374,114.7111970892634,MEDIUM,Payment Method Reminder,Retry Payment,1.0,50.0,0.6317043729790374,1,181.59,131.59
pay_000018,cust_14467,684.61,insufficient_funds,debit_card,19,3,4,0.43,14,1,23,3,0,0.0228810606434345,15.664602927101724,LOW,Manual Review / Stop Automatic Retry,Do Nothing,0.0,0.0,0.0,0,0.0,0.0
pay_000019,cust_56961,201.66,insufficient_funds,upi,43,7,1,0.88,10,1,23,2,0,0.3969947697301421,80.05796526378046,MEDIUM,Payment Method Reminder,Retry Payment,1.0,50.0,0.3969947697301421,0,0.0,-50.0
pay_000020,cust_41215,121.79,limit_exceeded,debit_card,10,9,1,0.9,44,0,25,3,0,0.0396901516551651,4.833863570082559,LOW,Manual Review / Stop Automatic Retry,Do Nothing,0.0,0.0,0.0,0,0.0,0.0
pay_000021,cust_69694,2165.18,insufficient_funds,credit_card,36,14,0,1.0,24,1,18,3,0,0.4957297618846025,1073.3441658373035,MEDIUM,Payment Method Reminder,Retry Payment,1.0,50.0,0.4957297618846025,0,0.0,-50.0
pay_000022,cust_31920,398.95,insufficient_funds,credit_card,55,8,1,0.89,42,1,5,1,1,0.8233569282738907,328.4782465348687,HIGH,Retry Payment,Retry Payment,1.0,50.0,0.8233569282738907,1,398.95,348.95
pay_000023,cust_59245,534.93,invalid_card,bank_transfer,17,4,2,0.67,1,1,11,2,1,0.0403070308752574,21.561440026101447,LOW,Manual Review / Stop Automatic Retry,Do Nothing,0.0,0.0,0.0,0,0.0,0.0
pay_000024,cust_60179,120.28,insufficient_funds,debit_card,54,11,2,0.85,43,1,28,0,1,0.5241067802581488,63.03956352945014,MEDIUM,Payment Method Reminder,Retry Payment,1.0,50.0,0.5241067802581488,0,0.0,-50.0
